T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
11977, -748, -1268, -600, -47810, -179690, 58310
11997, -748, -1276, -594, -28630, -189770, 37520
12017, -728, -1217, -562, -27370, -199500, 21700
12037, -695, -1153, -556, -21980, -248290, 37940
12057, -677, -1116, -551, 1540, -308490, 54950
12077, -652, -1075, -526, 15190, -319480, 38500
12097, -655, -1083, -534, 14910, -307230, 9450
12117, -675, -1111, -545, 13650, -306180, -1190
12137, -720, -1184, -588, 1820, -295610, -15610
12157, -768, -1272, -636, -2800, -287770, -41300
12177, -771, -1266, -628, 23240, -297780, -75390
12197, -729, -1187, -587, 48580, -313180, -106190
12217, -662, -1063, -516, 50680, -333130, -119560
12237, -649, -1024, -512, 29400, -350140, -111580
12257, -614, -956, -491, -18550, -347060, -98910
12277, -571, -872, -441, -13930, -342160, -117950
12297, -527, -802, -402, 630, -319130, -156590
12317, -501, -760, -372, -5810, -286720, -187040
12337, -475, -727, -349, -13650, -263340, -195020
12357, -473, -731, -353, -28420, -245840, -184730
12377, -460, -719, -342, -49490, -224070, -166740
12397, -443, -703, -329, -53550, -200900, -156380
12417, -435, -697, -326, -49000, -185640, -140210
12437, -423, -682, -321, -50260, -171080, -114380
12457, -400, -644, -299, -48930, -149100, -94500
12477, -374, -606, -275, -40250, -120960, -82600
12497, -353, -571, -257, -34860, -88970, -67340
12517, -332, -532, -236, -28000, -57470, -45920
12537, -318, -511, -228, -13790, -31640, -19810
12557, -313, -502, -223, -2450, -9870, 15260
12577, -322, -512, -231, 3150, 18130, 52010
12597, -341, -539, -249, 8680, 52220, 84000
12617, -372, -588, -275, 19180, 88410, 108570
12637, -422, -671, -320, 28350, 131320, 127190
12657, -487, -779, -373, 28490, 185360, 138180
12677, -562, -912, -436, 26320, 241080, 143430
12697, -652, -1067, -511, 21560, 285670, 154000
12717, -727, -1202, -584, 11200, 314720, 172130
12737, -753, -1249, -611, 9800, 322910, 190330
12757, -725, -1185, -578, 20930, 320390, 201530
12777, -694, -1103, -540, 25550, 326830, 205730
12797, -684, -1058, -524, 16940, 344260, 206080
12817, -683, -1050, -514, 6650, 373170, 190190
12837, -713, -1099, -533, 18690, 400750, 155820
12857, -768, -1190, -567, 39480, 421610, 118720
12877, -830, -1318, -632, 44940, 445200, 82950
12897, -860, -1389, -657, 33040, 455700, 58940
12917, -872, -1419, -666, 37240, 438200, 40810
